,omni_id,y,x,height,width,artwork_name,artist_full_name,artist_first_name,artist_last_name,date,century,source_url,image_url,collection_origins,general_type,genre,school,original_id_in_collection,palette_families,palette,pixel_counts,geocoded,media,style,dimensions,location,tag,dominant_color,dominant_color_family,description,publisher,distributable_url
685,9543,13976.104703911307,9045.421716711615,225.0,350.0,accommodations of desire,salvador dali  ,salvador,dali,1929,20,https://www.wikiart.org/en/salvador-dali/accommodations-of-desire,https://uploads8.wikiart.org/images/salvador-dali/accommodations-of-desire.jpg,WikiArt,painting,symbolic painting,Unknown,9543,Whites Grays Reds Blacks,"[u'#f4ebe5', u'#bca396', u'#ba5145', u'#584743', u'#403131', u'#3f2b2d', u'#34292c', u'#302527', u'#e5d4ce', u'#8f7265', u'#4c3232', u'#362c2e']",7344 9081 5423 9193 8547 8777 10884 7307 8186 9432 12273 9281,f,"collage,oil,board",surrealism,22.5 x 35 cm,Unknown,Unknown,#4c3232,Grays,,,Unknown
686,9545,10946.327643086724,13941.738314178376,238.0,347.0,illumined pleasures,salvador dali  ,salvador,dali,1929,20,https://www.wikiart.org/en/salvador-dali/illumined-pleasures,https://uploads3.wikiart.org/images/salvador-dali/illumined-pleasures.jpg,WikiArt,painting,symbolic painting,Unknown,9545,Whites Grays,"[u'#c4b5a7', u'#c2c3be', u'#8d8f9e', u'#848387', u'#ede2d1', u'#c8ccc6', u'#b6aea7', u'#a7a8ae', u'#a4968a', u'#989292', u'#7f6e61', u'#53443c']",6851 10173 9018 5769 6350 7124 5275 11468 7119 2400 14356 8817,f,"collage,oil,board",surrealism,23.8 x 34.7 cm,"museum of modern art (moma), new york city, ny, us",Unknown,#7f6e61,Grays,,,Unknown
687,9549,7676.706164617193,6802.260369036272,683.0,511.0,sometimes i spit with pleasure on the portrait of my mother (the sacred heart),salvador dali  ,salvador,dali,1929,20,https://www.wikiart.org/en/salvador-dali/sometimes-i-spit-with-pleasure-on-the-portrait-of-my-mother-the-sacred-heart,https://uploads6.wikiart.org/images/salvador-dali/sometimes-i-spit-with-pleasure-on-the-portrait-of-my-mother-the-sacred-heart.jpg,WikiArt,painting,symbolic painting,Unknown,9549,Whites Grays,"[u'#fefffb', u'#fdfdfb', u'#fcfdf8', u'#fbfbf8', u'#fafbf5', u'#f7f7ef', u'#f6f3e7', u'#dfdbcd', u'#fafaef', u'#f1f2ea', u'#eceadd', u'#949085']",7932 5878 6975 5602 10331 8302 6172 14205 3812 5863 10129 5679,f,"ink,cardboard","dada,surrealism",68.3 x 51.1 cm,"georges pompidou center, paris, france",Unknown,#dfdbcd,Whites,,,Unknown
688,9550,12254.169945577529,8362.249669186527,113.0,164.0,the ants,salvador dali  ,salvador,dali,1929,20,https://www.wikiart.org/en/salvador-dali/the-ants,https://uploads1.wikiart.org/images/salvador-dali/the-ants.jpg,WikiArt,painting,symbolic painting,Unknown,9550,Whites Yellows Blacks,"[u'#ffffff', u'#fefff4', u'#efedd5', u'#b69749', u'#b0a576', u'#372b0f', u'#d3a23f', u'#cd9834', u'#c38e33', u'#c08c26', u'#ac8837', u'#97742a']",8847 8651 4788 3672 7824 9795 5143 8771 7005 11412 5618 10890,f,"collage,gouache,ink",surrealism,11.3 x 16.4 cm,private collection,Unknown,#c08c26,Yellows,,,Unknown
689,9551,7443.028978141306,9999.999999999893,1100.0,1507.0,"the enigma of my desire or my mother, my mother, my mother",salvador dali  ,salvador,dali,1929,20,https://www.wikiart.org/en/salvador-dali/the-enigma-of-my-desire-or-my-mother-my-mother-my-mother-1929,https://uploads0.wikiart.org/images/salvador-dali/the-enigma-of-my-desire-or-my-mother-my-mother-my-mother-1929.jpg,WikiArt,painting,symbolic painting,Unknown,9551,Whites Reds Yellows Grays,"[u'#f2ddac', u'#efcd80', u'#ebbf64', u'#e5af7d', u'#cfaf8a', u'#a4735a', u'#8889a9', u'#5e412c', u'#f7ecdb', u'#d1926e', u'#b88a61', u'#82809c']",4203 5385 14013 3939 7268 7522 6058 10666 8287 5566 7770 6875,f,"oil,canvas",surrealism,110 x 150.7 cm,Unknown,Unknown,#ebbf64,Yellows,,,Unknown
690,9552,11638.211976271295,7745.194653961078,1100.0,1500.0,the great masturbator,salvador dali  ,salvador,dali,1929,20,https://www.wikiart.org/en/salvador-dali/the-great-masturbator-1929,https://uploads1.wikiart.org/images/salvador-dali/the-great-masturbator-1929.jpg,WikiArt,painting,symbolic painting,Unknown,9552,Whites Grays Blues Yellows,"[u'#f4e1af', u'#eed39e', u'#d3d5c6', u'#c6bba4', u'#ae9d80', u'#7b95be', u'#5f81c0', u'#4c5979', u'#fef8d5', u'#fef0b8', u'#f0f0d5', u'#66708c']",5546 7617 9065 4862 6943 3411 15525 7968 8280 7017 7138 4180,f,"oil,canvas",surrealism,110 x 150 cm,Unknown,Unknown,#5f81c0,Blues,,,Unknown
691,9553,9688.756135128207,6045.271730058323,444.0,303.0,the lugubrious game,salvador dali  ,salvador,dali,1929,20,https://www.wikiart.org/en/salvador-dali/the-lugubrious-game-1929-oil-collage-on-cardboard-1929,https://uploads2.wikiart.org/images/salvador-dali/the-lugubrious-game-1929-oil-collage-on-cardboard-1929.jpg,WikiArt,painting,symbolic painting,Unknown,9553,Grays Blacks,"[u'#9eafa3', u'#829fa1', u'#5c7d8b', u'#443d33', u'#101110', u'#b5c2b0', u'#8e8874', u'#738077', u'#6b6050', u'#535a50', u'#3e545e', u'#2f3637']",9004 12792 8233 7359 11526 5943 6325 7757 7273 10061 9047 7336,f,"collage,oil,cardboard",surrealism,44.4 x 30.3 cm,private collection,Unknown,#829fa1,Grays,,,Unknown
695,9576,13166.605008348171,12300.673207959471,502.0,652.0,"paranoiac woman-horse (invisible sleeping woman, lion, horse)",salvador dali  ,salvador,dali,1930,20,https://www.wikiart.org/en/salvador-dali/paranoiac-woman-horse-invisible-sleeping-woman-lion-horse,https://uploads5.wikiart.org/images/salvador-dali/paranoiac-woman-horse-invisible-sleeping-woman-lion-horse.jpg,WikiArt,painting,symbolic painting,Unknown,9576,Whites Reds Yellows Blacks,"[u'#f8e9b0', u'#e3c17c', u'#cb9954', u'#5d3523', u'#3d2f25', u'#341f16', u'#241d1a', u'#160d0b', u'#c07c38', u'#a9642f', u'#73583f', u'#1f1411']",4946 6355 7334 6615 6217 7976 5628 8088 7793 5895 7567 8274,f,"oil,canvas",surrealism,50.2 x 65.2 cm,"georges pompidou center, paris, france",Unknown,#1f1411,Blacks,,,Unknown
696,9577,12337.143199111746,13216.801644809722,690.0,440.0,phantasmagoria,salvador dali  ,salvador,dali,c.1930,,https://www.wikiart.org/en/salvador-dali/phantasmagoria,https://uploads7.wikiart.org/images/salvador-dali/phantasmagoria.jpg,WikiArt,painting,symbolic painting,Unknown,9577,Reds Yellows,"[u'#efbd62', u'#e4b560', u'#e2bd64', u'#e1ab5c', u'#d2ab5c', u'#d19d57', u'#f4cc73', u'#eec468', u'#ce9254', u'#bf9254', u'#b4804f', u'#855c40']",7532 6924 6481 6182 8853 9097 5731 6794 6250 11582 13467 9923,f,"oil,panel",surrealism,69 x 44 cm,private collection,Unknown,#b4804f,Reds,,,Unknown
697,9578,6573.080543572081,12100.018943790723,315.0,270.0,premature ossification of a railroad station,salvador dali  ,salvador,dali,1930,20,https://www.wikiart.org/en/salvador-dali/premature-ossification-of-a-railroad-station,https://uploads1.wikiart.org/images/salvador-dali/premature-ossification-of-a-railroad-station.jpg,WikiArt,painting,symbolic painting,Unknown,9578,Reds Grays Yellows Blacks,"[u'#d9c99f', u'#d1a763', u'#ceb78b', u'#be8d4d', u'#bd915d', u'#a4774c', u'#716b6f', u'#b8a277', u'#a06840', u'#82888c', u'#574442', u'#1a0e10']",6065 9245 5036 5750 7879 10925 3497 3597 12130 9154 8824 11594,f,"oil,canvas",surrealism,31.5 x 27 cm,private collection,Unknown,#a06840,Reds,,,Unknown
698,9580,9999.999999999922,13990.322670059039,660.0,410.0,the font,salvador dali  ,salvador,dali,1930,20,https://www.wikiart.org/en/salvador-dali/the-font,https://uploads1.wikiart.org/images/salvador-dali/the-font.jpg,WikiArt,painting,symbolic painting,Unknown,9580,Grays Blacks,"[u'#847d6f', u'#765b4d', u'#5a7984', u'#372d2d', u'#2b292c', u'#222125', u'#b8bcbb', u'#8a9a9c', u'#565450', u'#434a4b', u'#3c3637', u'#181619']",6324 5660 10007 6593 13489 16469 7404 7058 9418 8088 13770 11432,f,"collage,oil,wood",surrealism,66 x 41 cm,"salvador dali museum, st. petersburg, fl, us",Unknown,#222125,Blacks,,,Unknown
699,9583,8581.5465143375,13424.44964268056,1130.0,870.0,william tell,salvador dali  ,salvador,dali,1930,20,https://www.wikiart.org/en/salvador-dali/william-tell,https://uploads5.wikiart.org/images/salvador-dali/william-tell.jpg,WikiArt,painting,symbolic painting,Unknown,9583,Grays Yellows Blacks,"[u'#ebe596', u'#705d62', u'#68798c', u'#493749', u'#3d3545', u'#392d38', u'#a5aa92', u'#9b7e6e', u'#594651', u'#555688', u'#4a4463', u'#332830']",5791 8488 7543 8232 5820 7951 5359 4780 7808 8099 9656 9305,f,"collage,oil,canvas",surrealism,113 x 87 cm,"georges pompidou center, paris, france",Unknown,#4a4463,Grays,,,Unknown
703,9602,6811.64931852496,9234.544724879035,160.0,220.0,"cardinal, cardinal",salvador dali  ,salvador,dali,1934,20,https://www.wikiart.org/en/salvador-dali/cardinal-cardinal,https://uploads1.wikiart.org/images/salvador-dali/cardinal-cardinal.jpg,WikiArt,painting,symbolic painting,Unknown,9602,Whites Reds Yellows Blacks Grays,"[u'#e5ddd3', u'#ddd1c4', u'#af8d76', u'#805951', u'#6c3d3d', u'#482d30', u'#39292d', u'#e0b883', u'#dacab7', u'#c5b6a9', u'#53383a', u'#2f2429']",4443 10699 6666 6410 6900 6312 6553 6700 7892 5695 7986 10272,f,"oil,wood,tempera",surrealism,16 x 22 cm,Unknown,Unknown,#ddd1c4,Whites,,,Unknown
704,9603,8687.6340742829,8463.416925293212,90.0,70.0,dreams on a beach,salvador dali  ,salvador,dali,1934,20,https://www.wikiart.org/en/salvador-dali/dreams-on-a-beach,https://uploads1.wikiart.org/images/salvador-dali/dreams-on-a-beach.jpg,WikiArt,painting,symbolic painting,Unknown,9603,Grays Yellows Blacks,"[u'#483d1d', u'#20210e', u'#cdcc70', u'#ccac3c', u'#c2bc60', u'#b6862b', u'#a87424', u'#a09c56', u'#8aa881', u'#75501e', u'#6e9a8b', u'#5e7c72']",6507 9209 6226 7411 4082 6920 6637 4484 8813 6043 12527 4597,f,"oil,wood",surrealism,9 x 7 cm,private collection,Unknown,#6e9a8b,Grays,,,Unknown
705,9604,8577.789528526742,6566.480191218583,650.0,540.0,javanese mannequin,salvador dali  ,salvador,dali,1934,20,https://www.wikiart.org/en/salvador-dali/javanese-mannequin,https://uploads2.wikiart.org/images/salvador-dali/javanese-mannequin.jpg,WikiArt,painting,symbolic painting,Unknown,9604,Reds Grays Yellows,"[u'#d6ab5c', u'#be9551', u'#9e7d4a', u'#967345', u'#7f6341', u'#5f4739', u'#533f37', u'#453333', u'#423131', u'#3e2d2e', u'#ad864c', u'#4b3834']",4191 6594 6533 10174 7644 5414 6616 6891 6535 7350 4263 7923,f,"oil,canvas",surrealism,65 x 54 cm,"salvador dali museum, st. petersburg, fl, us",Unknown,#967345,Yellows,,,Unknown
706,9605,6246.513131803656,9098.867530460124,660.0,530.0,la tour,salvador dali  ,salvador,dali,1934,20,https://www.wikiart.org/en/salvador-dali/latour,https://uploads8.wikiart.org/images/salvador-dali/latour.jpg,WikiArt,painting,symbolic painting,Unknown,9605,Whites Reds Blues Grays,"[u'#fefffb', u'#dde9ea', u'#c9a587', u'#6e97c5', u'#4c618f', u'#444149', u'#3a3d45', u'#bcc6cb', u'#979eab', u'#707082', u'#3f3c41', u'#fef1dd']",8687 2834 6813 11870 9162 7173 2789 4971 2758 7252 11148 2623,f,Unknown,surrealism,66 x 53 cm,Unknown,Unknown,#6e97c5,Blues,,,Unknown
707,9609,12603.60527496782,7396.394725032298,820.0,660.0,morning ossification of the cypress,salvador dali  ,salvador,dali,1934,20,https://www.wikiart.org/en/salvador-dali/morning-ossification-of-the-cypress-1934,https://uploads6.wikiart.org/images/salvador-dali/morning-ossification-of-the-cypress-1934.jpg,WikiArt,painting,symbolic painting,Unknown,9609,Whites Grays Blues Yellows,"[u'#fef3c6', u'#faefbc', u'#f8efcd', u'#f3e9bf', u'#e1e3c3', u'#d0d7bc', u'#c8c798', u'#a9b7a8', u'#908f71', u'#6287c8', u'#fef0be', u'#535655']",7955 7089 10006 6638 6463 7664 7265 4374 7387 7818 3602 7963,f,"oil,canvas",surrealism,82 x 66 cm,private collection,Unknown,#f8efcd,Whites,,,Unknown
708,9611,12606.13176751125,11327.890460283124,230.0,190.0,the ghost of vermeer van delft,salvador dali  ,salvador,dali,c.1934,,https://www.wikiart.org/en/salvador-dali/the-ghost-of-vermeer-van-delft,https://uploads5.wikiart.org/images/salvador-dali/the-ghost-of-vermeer-van-delft.jpg,WikiArt,painting,symbolic painting,Unknown,9611,Yellows Blacks,"[u'#977317', u'#78671a', u'#684d12', u'#544713', u'#926813', u'#b59a22', u'#a98c20', u'#a78019', u'#927e21', u'#715814', u'#47300c', u'#341805']",6617 6573 6514 10266 7599 5424 5697 6014 5539 6860 10554 10663,f,"oil,canvas","expressionism,surrealism",23 x 19 cm,private collection,Unknown,#341805,Blacks,,,Unknown
709,9612,7449.409719135102,9171.262980726206,180.0,140.0,the ghost of vermeer van delft which can be used as a table,salvador dali  ,salvador,dali,1934,20,https://www.wikiart.org/en/salvador-dali/the-ghost-of-vermeer-van-delft-which-can-be-used-as-a-table,https://uploads7.wikiart.org/images/salvador-dali/the-ghost-of-vermeer-van-delft-which-can-be-used-as-a-table.jpg,WikiArt,painting,symbolic painting,Unknown,9612,Grays Yellows,"[u'#d7b15d', u'#c9bf89', u'#c0994c', u'#92936a', u'#453721', u'#f5e87b', u'#e0cc78', u'#dcc273', u'#bdae74', u'#a9aa82', u'#a89861', u'#807649']",5704 9752 4878 9392 9461 5906 3572 4483 6101 8257 10971 10355,f,"oil,wood",surrealism,18 x 14 cm,"salvador dali museum, st. petersburg, fl, us",Unknown,#a89861,Yellows,,,Unknown
710,9614,11389.148996329648,13353.70234709757,997.0,720.0,"the isle of the dead - centre, section",salvador dali  ,salvador,dali,1934,20,https://www.wikiart.org/en/salvador-dali/the-isle-of-the-dead-centre-section,https://uploads1.wikiart.org/images/salvador-dali/the-isle-of-the-dead-centre-section.jpg,WikiArt,painting,symbolic painting,Unknown,9614,Whites Grays Yellows Blacks Cyans,"[u'#dce1c7', u'#d4d9c0', u'#c3d1ad', u'#bbb556', u'#b2cfbe', u'#7cafb1', u'#555934', u'#d4d9ab', u'#ced09e', u'#b1c8b2', u'#9db8a4', u'#050201']",6011 7851 8242 5173 9672 12665 2819 4359 7398 4120 8537 15569,f,"oil,panel",surrealism,99.7 x 72 cm,Unknown,Unknown,#050201,Blacks,,,Unknown
711,9615,8545.529566550382,12854.55895263523,220.0,160.0,the spectre of the angelus,salvador dali  ,salvador,dali,c.1934,,https://www.wikiart.org/en/salvador-dali/the-spectre-of-the-angelus,https://uploads1.wikiart.org/images/salvador-dali/the-spectre-of-the-angelus.jpg,WikiArt,painting,symbolic painting,Unknown,9615,Yellows Blacks,"[u'#dbb53e', u'#b8973a', u'#6d6334', u'#46371d', u'#100f0c', u'#c1a23f', u'#a1863b', u'#8d7233', u'#5e4e25', u'#4f4a26', u'#24281b', u'#1c1a12']",5736 8746 7754 7167 10377 8420 6369 6846 8831 9072 6973 6893,f,"oil,canvas",surrealism,22 x 16 cm,private collection,Unknown,#100f0c,Blacks,,,Unknown
720,9645,9380.751973103233,13909.778167776862,350.0,270.0,woman with a head of roses,salvador dali  ,salvador,dali,1935,20,https://www.wikiart.org/en/salvador-dali/woman-with-a-head-of-roses,https://uploads1.wikiart.org/images/salvador-dali/woman-with-a-head-of-roses.jpg,WikiArt,painting,symbolic painting,Unknown,9645,Grays Blacks,"[u'#69594d', u'#626d6c', u'#595b55', u'#515756', u'#3d3b44', u'#372d36', u'#acb2a8', u'#91745b', u'#8d9088', u'#5c4842', u'#4f4643', u'#474241']",4958 4127 10707 8870 8076 12779 5731 6554 5102 4904 8551 8729,f,Unknown,surrealism,35 x 27 cm,Unknown,Unknown,#372d36,Blacks,,,Unknown
772,9912,13305.92665518401,11684.453764978312,780.0,580.0,nuclear cross,salvador dali  ,salvador,dali,1952,20,https://www.wikiart.org/en/salvador-dali/nuclear-cross,https://uploads6.wikiart.org/images/salvador-dali/nuclear-cross.jpg,WikiArt,painting,symbolic painting,Unknown,9912,Whites Reds Yellows Blacks Grays,"[u'#f8dfa1', u'#e7c788', u'#ad8557', u'#d0ac71', u'#846246', u'#513e35', u'#41322e', u'#3b3030', u'#362e2f', u'#332829', u'#2b2629', u'#2a2224']",5498 6640 6339 5425 11517 6024 8420 10554 8710 5963 8414 6352,f,"oil,canvas",surrealism,78 x 58 cm,private collection,Unknown,#846246,Reds,,,Unknown
777,9951,10621.828157068203,13926.06846855995,405.0,305.0,young virgin auto-sodomized by the horns of her own chastity,salvador dali  ,salvador,dali,1954,20,https://www.wikiart.org/en/salvador-dali/young-virgin-auto-sodomized-by-the-horns-of-her-own-chastity,https://uploads8.wikiart.org/images/salvador-dali/young-virgin-auto-sodomized-by-the-horns-of-her-own-chastity.jpg,WikiArt,painting,symbolic painting,Unknown,9951,Whites Grays Yellows Reds Blacks,"[u'#e9e1c5', u'#85796d', u'#746f68', u'#504743', u'#faf4c4', u'#cdc6b2', u'#b79a70', u'#b4ae9c', u'#9f7a5c', u'#959490', u'#6c5648', u'#322a2b']",7041 9627 7617 7430 6070 8347 4772 8342 4439 10264 7572 8591,f,"oil,canvas",surrealism,40.5 x 30.5 cm,private collection,Unknown,#959490,Grays,,,Unknown
785,9985,11686.236581501995,6690.574370377732,930.0,600.0,rhinocerotic gooseflesh,salvador dali  ,salvador,dali,1956,20,https://www.wikiart.org/en/salvador-dali/rhinocerotic-gooseflesh,https://uploads7.wikiart.org/images/salvador-dali/rhinocerotic-gooseflesh.jpg,WikiArt,painting,symbolic painting,Unknown,9985,Reds Grays,"[u'#dfc5b8', u'#db8552', u'#d4b9b1', u'#d0a993', u'#ceb1aa', u'#d79c6f', u'#c3805a', u'#bba09a', u'#9b8478', u'#916858', u'#8c766d', u'#6c5a59']",4985 8836 8118 5119 9262 6267 3975 7361 6351 3796 10250 10160,f,"oil,canvas",surrealism,93 x 60 cm,Unknown,Unknown,#8c766d,Grays,,,Unknown
786,9986,7560.226033376802,7560.226033376855,1003.0,1003.0,skull of zurbaran,salvador dali  ,salvador,dali,1956,20,https://www.wikiart.org/en/salvador-dali/skull-of-zurbaran,https://uploads1.wikiart.org/images/salvador-dali/skull-of-zurbaran.jpg,WikiArt,painting,symbolic painting,Unknown,9986,Grays Yellows Blacks,"[u'#e6d573', u'#a69d69', u'#444542', u'#2a2d32', u'#1f2328', u'#1b1f23', u'#cdbc66', u'#6f6c56', u'#373635', u'#22282e', u'#1f2023', u'#181a1d']",4022 8106 8691 4336 4810 7296 5600 6002 4763 3665 4861 3384,f,"oil,canvas",surrealism,100.3 x 100.3 cm,"hirshhorn museum and sculpture garden, washington, dc, us",Unknown,#444542,Grays,,,Unknown
797,10022,7158.488059624216,12426.880465788587,840.0,1160.0,music - the red orchestra,salvador dali  ,salvador,dali,1957,20,https://www.wikiart.org/en/salvador-dali/music-the-red-orchestra-1,https://uploads0.wikiart.org/images/salvador-dali/music-the-red-orchestra-1.jpg,WikiArt,painting,symbolic painting,Unknown,10022,Whites Reds Blacks Grays,"[u'#dce3dc', u'#ba2112', u'#ac2916', u'#a5aba7', u'#9f2114', u'#72291a', u'#291510', u'#be2813', u'#a46247', u'#992a18', u'#701e14', u'#4d6279']",5196 8440 10073 7307 6211 5893 10431 7199 3482 9331 9567 3654,f,"oil,canvas",surrealism,84 x 116 cm,private collection,Unknown,#291510,Blacks,,,Unknown
804,10049,8164.551849640495,12149.033670470295,1150.0,1230.0,ascension,salvador dali  ,salvador,dali,1958,20,https://www.wikiart.org/en/salvador-dali/ascension,https://uploads2.wikiart.org/images/salvador-dali/ascension.jpg,WikiArt,painting,symbolic painting,Unknown,10049,Reds Yellows Blacks,"[u'#eecf5f', u'#edab32', u'#ecc14a', u'#7c4d29', u'#68351b', u'#3a251a', u'#1c1711', u'#14110c', u'#100b08', u'#f3de7f', u'#cba259', u'#ae7433']",2485 9164 6119 5857 4277 6954 5079 6152 7249 5508 4054 5966,f,"oil,canvas",surrealism,115 x 123 cm,private collection,Unknown,#edab32,Yellows,,,Unknown
820,10106,12212.487384748736,11355.81401312408,380.0,250.0,cavallo metafisco,salvador dali  ,salvador,dali,1960,20,https://www.wikiart.org/en/salvador-dali/cavallo-metafisco,https://uploads1.wikiart.org/images/salvador-dali/cavallo-metafisco.jpg,WikiArt,painting,symbolic painting,Unknown,10106,Whites Reds Magentas Grays,"[u'#e3d1df', u'#dec9db', u'#ddc3d6', u'#d5b5c2', u'#ce9d98', u'#ca8f82', u'#b797b4', u'#653d65', u'#d4c2d5', u'#c6aed0', u'#b97c73', u'#95709b']",4601 6304 3769 5601 6095 5535 5515 6810 6989 10685 5754 5814,f,"oil,canvas",surrealism,38 x 25 cm,Unknown,Unknown,#c6aed0,Magentas,,,Unknown
821,10108,8534.001799457203,7607.708363116743,925.0,1530.0,goddess leaning on her elbow - continuum of the four buttocks or five rhinoceros horns making a virgin or birth of a deity,salvador dali  ,salvador,dali,1960,20,https://www.wikiart.org/en/salvador-dali/goddess-leaning-on-her-elbow-continuum-of-the-four-buttocks-or-five-rhinoceros-horns-making-a-1960,https://uploads1.wikiart.org/images/salvador-dali/goddess-leaning-on-her-elbow-continuum-of-the-four-buttocks-or-five-rhinoceros-horns-making-a-1960.jpg,WikiArt,painting,symbolic painting,Unknown,10108,Whites Grays Blacks,"[u'#e8e3e2', u'#e0d9d8', u'#c6bfc0', u'#b8ada8', u'#615d67', u'#201717', u'#d7ccc8', u'#ad9a86', u'#8f8c96', u'#817676', u'#76645b', u'#493c39']",5716 6615 5155 6346 6407 11684 4660 6428 8106 7854 8064 10261,f,"oil,canvas",surrealism,92.5 x 153 cm,"generalitat de catalunya, barcelona, spain",Unknown,#201717,Blacks,,,Unknown
861,10393,10000.0,10000.5,4000.0,3000.0,the hallucinogenic toreador,salvador dali  ,salvador,dali,1968,20,https://www.wikiart.org/en/salvador-dali/hallucinogenic-toreador-1970,https://uploads3.wikiart.org/images/salvador-dali/hallucinogenic-toreador-1970.jpg,WikiArt,painting,symbolic painting,Unknown,10393,Whites Reds Yellows Blacks Grays,"[u'#e7d3b5', u'#6e4339', u'#352b29', u'#f1e2bf', u'#e0c8a9', u'#ddbe9c', u'#dbb28b', u'#bdae9c', u'#b39a84', u'#af866e', u'#857a6a', u'#835c4e']",8146 5781 11003 5314 8591 6432 6467 9133 8509 6411 7709 6104,f,"oil,canvas","neoclassicism,surrealism",400 x 300 cm,"salvador dali museum, st. petersburg, fl, us",Unknown,#352b29,Blacks,,,Unknown
884,10540,13727.214285320892,10000.000000000633,1000.0,1000.0,the harmony of the spheres,salvador dali  ,salvador,dali,1978,20,https://www.wikiart.org/en/salvador-dali/the-harmony-of-the-spheres,https://uploads1.wikiart.org/images/salvador-dali/the-harmony-of-the-spheres.jpg,WikiArt,painting,symbolic painting,Unknown,10540,Whites Reds Yellows Grays,"[u'#fefff6', u'#cbb797', u'#83634d', u'#5a5573', u'#553f42', u'#422f31', u'#fbf8d5', u'#faf6ef', u'#f3e8bc', u'#e5d8b4', u'#a89077', u'#faf4b8']",4719 4751 3825 5479 7072 8572 6643 5543 4885 6930 3568 4573,f,"oil,canvas",surrealism,100 x 100 cm,"dal theatre and museum, figueres, spain",Unknown,#422f31,Grays,,,Unknown
888,10561,12611.948893296516,10000.00000000001,1220.0,2460.0,"dawn, noon, sunset and dusk",salvador dali  ,salvador,dali,1979,20,https://www.wikiart.org/en/salvador-dali/dawn-noon-sunset-and-dusk,https://uploads0.wikiart.org/images/salvador-dali/dawn-noon-sunset-and-dusk.jpg,WikiArt,painting,symbolic painting,Unknown,10561,Reds Grays Yellows,"[u'#e8c99c', u'#dcbb91', u'#d3b188', u'#b1997a', u'#83736d', u'#d2a477', u'#c5a076', u'#a88869', u'#a07859', u'#7d5c4c', u'#60565e', u'#4d3e43']",8552 10810 12800 10015 12324 9145 11253 10690 9274 10601 8476 13036,f,"oil,canvas","pointillism,surrealism",122 x 246 cm,"dal theatre and museum, figueres, spain",Unknown,#4d3e43,Grays,,,Unknown
898,10624,6390.595439188725,9999.99999999956,1000.0,1000.0,the three glorious enigmas of gala(second version),salvador dali  ,salvador,dali,1982,20,https://www.wikiart.org/en/salvador-dali/the-three-glorious-enigmas-of-gala-second-version,https://uploads6.wikiart.org/images/salvador-dali/the-three-glorious-enigmas-of-gala-second-version.jpg,WikiArt,painting,symbolic painting,Unknown,10624,Whites Grays Yellows,"[u'#cbb7a2', u'#c3a98f', u'#a6a5ba', u'#a29da9', u'#7e737e', u'#3a313b', u'#e0e0e0', u'#d2cccd', u'#c8c2c6', u'#bfbac5', u'#b6b6c7', u'#b0aab4']",5131 5070 3013 6368 5054 9834 4119 5567 4595 8398 7698 7345,f,"oil,canvas",surrealism,100 x 100 cm,"dal theatre and museum, figueres, spain",Unknown,#3a313b,Grays,,,Unknown
