,omni_id,y,x,height,width,artwork_name,artist_full_name,artist_first_name,artist_last_name,date,century,source_url,image_url,collection_origins,general_type,genre,school,original_id_in_collection,palette_families,palette,pixel_counts,geocoded,media,style,dimensions,location,tag,dominant_color,dominant_color_family,description,publisher,distributable_url
213,904,8283.95187992337,8534.356445316316,1480.0,1140.0,catalan peasant with a guitar,joan miro  ,joan,miro,c.1924,,https://www.wikiart.org/en/joan-miro/catalan-peasant-with-a-guitar,https://uploads0.wikiart.org/images/joan-miro/catalan-peasant-with-a-guitar.jpg,WikiArt,painting,abstract,Unknown,904,Blues,"[u'#1f1290', u'#4d4379', u'#20157f', u'#1c0d8d', u'#170c70', u'#22187f', u'#1f1270', u'#1e0e6d', u'#1d108e', u'#1b127c', u'#1a0e6f', u'#170c90']",16335 2611 5839 5873 3167 2760 7518 13653 5410 12990 3506 6866,f,"oil,canvas","surrealism,automatic painting",148 x 114 cm,"thyssen-bornemisza museum, madrid, spain",dreams-and-hallucinations,#1f1290,Blues,,,Unknown
231,966,12694.644038517192,11651.279990559895,960.0,1300.0,photo; this is the color of my dreams,joan miro  ,joan,miro,1925,20,https://www.wikiart.org/en/joan-miro/photo-this-is-the-color-of-my-dreams,https://uploads7.wikiart.org/images/joan-miro/photo-this-is-the-color-of-my-dreams.jpg,WikiArt,painting,abstract,Unknown,966,Whites Grays,"[u'#fee3af', u'#fde5be', u'#fcedc4', u'#fceecb', u'#fdf8d2', u'#fcecbb', u'#fae2b0', u'#f9e4be', u'#f7daab', u'#b69e99', u'#fdf4c4', u'#fcf3d0']",7169 7154 9466 6251 5970 8006 6301 4248 10985 7040 8415 6035,f,"oil,canvas",dada,96 x 130 cm,private collection,Unknown,#f7daab,Whites,,,Unknown
232,967,11541.89981268851,11805.332726675091,1130.0,1440.0,siesta,joan miro  ,joan,miro,1925,20,https://www.wikiart.org/en/joan-miro/siesta,https://uploads4.wikiart.org/images/joan-miro/siesta.jpg,WikiArt,painting,abstract,Unknown,967,Whites Cyans Grays,"[u'#d5e3cd', u'#b5dde3', u'#acd3de', u'#9dd1dc', u'#84bfd1', u'#80b5c7', u'#527987', u'#aed0cf', u'#9accd8', u'#97c0c7', u'#96c8d5', u'#95c2d4']",5196 5696 6546 5694 10222 13282 5155 4880 6682 7263 6751 5833,f,"oil,canvas","surrealism,automatic painting",113 x 144 cm,"georges pompidou center, paris, france",Unknown,#80b5c7,Cyans,,,Unknown
233,968,8712.044629843062,7472.245259907935,1300.0,970.0,stars in snails' sexes,joan miro  ,joan,miro,1925,20,https://www.wikiart.org/en/joan-miro/stars-in-snails-sexes,https://uploads1.wikiart.org/images/joan-miro/stars-in-snails-sexes.jpg,WikiArt,painting,abstract,Unknown,968,Reds Yellows,"[u'#c89b4f', u'#c37519', u'#c0892d', u'#bd7f23', u'#b96b18', u'#b36119', u'#ac6b19', u'#bb7419', u'#af7420', u'#a0601b', u'#915a20', u'#794214']",6293 11077 5013 5531 7027 3816 9756 9436 6391 8301 7674 7493,f,"oil,canvas","surrealism,automatic painting",130 x 97 cm,private collection,Unknown,#c37519,Yellows,,,Unknown
234,969,12234.95777486574,10000.000000000122,2510.0,2000.0,the birth of the world,joan miro  ,joan,miro,1925,20,https://www.wikiart.org/en/joan-miro/the-birth-of-the-world,https://uploads2.wikiart.org/images/joan-miro/the-birth-of-the-world.jpg,WikiArt,painting,abstract,Unknown,969,Grays,"[u'#bac5a4', u'#acb594', u'#93957a', u'#8b6f5d', u'#89856d', u'#756b5e', u'#a4aa8b', u'#a39c83', u'#9b987d', u'#938872', u'#877c6b', u'#574a43']",4845 7365 5962 3323 5423 12529 9114 5408 7021 7251 7573 7386,f,"oil,canvas","surrealism,automatic painting",251 x 200 cm,"museum of modern art (moma), new york city, ny, us",Unknown,#756b5e,Grays,,,Unknown
257,1065,7066.037859710531,9999.999999999694,1300.0,970.0,painting,joan miro  ,joan,miro,1927,20,https://www.wikiart.org/en/joan-miro/painting,https://uploads6.wikiart.org/images/joan-miro/painting.jpg,WikiArt,painting,abstract,Unknown,1065,Whites Blues,"[u'#bfd9f5', u'#3944af', u'#495bbd', u'#3b49b6', u'#2d3ba6', u'#222d8b', u'#3d44ae', u'#393c95', u'#3544af', u'#333ca5', u'#2c3896', u'#263697']",7107 4998 671 19137 8556 7571 4322 4398 7891 7058 4354 11745,f,"oil,canvas","surrealism,automatic painting",130 x 97 cm,"tate modern, london, uk",Unknown,#3b49b6,Blues,,,Unknown
258,1066,10000.0,10000.5,1950.0,2800.0,the circus house,joan miro  ,joan,miro,1927,20,https://www.wikiart.org/en/joan-miro/the-circus-house,https://uploads5.wikiart.org/images/joan-miro/the-circus-house.jpg,WikiArt,painting,abstract,Unknown,1066,Reds Yellows,"[u'#e2c9ad', u'#b15d0f', u'#aa4f08', u'#973d05', u'#883708', u'#aa560b', u'#a44e09', u'#9f4407', u'#9d4c0a', u'#974405', u'#8f3a05', u'#802c05']",5167 8715 6192 7977 6181 9437 9406 8100 7296 6616 9384 8969,f,"oil,pencil,canvas","surrealism,automatic painting",195 x 280 cm,Unknown,Unknown,#aa560b,Reds,,,Unknown
311,1234,9999.999999999813,12215.322820780804,1300.0,1620.0,composition,joan miro  ,joan,miro,1933,20,https://www.wikiart.org/en/joan-miro/composition,https://uploads0.wikiart.org/images/joan-miro/composition.jpg,WikiArt,painting,abstract,Unknown,1234,Reds Blacks Whites Yellows Grays Blues,"[u'#bdc7de', u'#881f2e', u'#754132', u'#3f413a', u'#26196e', u'#1d1352', u'#5e6a3f', u'#585e35', u'#544a2f', u'#352051', u'#28206e', u'#211a74']",4855 4775 4100 5253 4851 4758 5421 12111 7781 7062 3962 16479,f,"oil,canvas",surrealism,130 x 162 cm,"kunstmuseum bern, bern, switzerland",dreams-and-hallucinations,#211a74,Blues,,,Unknown
312,1235,9999.99999999995,6614.4339157569975,1067.0,699.0,drawing-collage with a hat,joan miro  ,joan,miro,1933,20,https://www.wikiart.org/en/joan-miro/drawing-collage-with-a-hat,https://uploads6.wikiart.org/images/joan-miro/drawing-collage-with-a-hat.jpg,WikiArt,painting,abstract,Unknown,1235,Yellows,"[u'#abb120', u'#a4a731', u'#848524', u'#cad448', u'#b4bc2c', u'#abb234', u'#a3a820', u'#9ca227', u'#999a31', u'#989a20', u'#8f9226', u'#67661c']",7747 7185 12810 3827 9030 5092 8241 8231 8339 9497 9438 9635,f,"collage,pencil,paper",surrealism,106.7 x 69.9 cm,private collection,Unknown,#848524,Yellows,,,Unknown
313,1236,8369.798810950295,9999.999999999967,1304.0,1625.0,painting,joan miro  ,joan,miro,1933,20,https://www.wikiart.org/en/joan-miro/painting-1,https://uploads8.wikiart.org/images/joan-miro/painting-1.jpg,WikiArt,painting,abstract,Unknown,1236,Reds Grays Yellows Blacks Cyans,"[u'#d7cdaa', u'#546f7d', u'#4a7585', u'#466d7e', u'#456574', u'#1e2d36', u'#854c4e', u'#728077', u'#557683', u'#506674', u'#4c6e7e', u'#406270']",4524 3411 8317 7635 8200 7432 6633 1823 7058 4950 6629 12492,f,Unknown,surrealism,130.4 x 162.5 cm,"joan mir foundation, barcelona, spain",Unknown,#406270,Cyans,,,Unknown
