,omni_id,y,x,height,width,artwork_name,artist_full_name,artist_first_name,artist_last_name,date,century,source_url,image_url,collection_origins,general_type,genre,school,original_id_in_collection,palette_families,palette,pixel_counts,geocoded,media,style,dimensions,location,tag,dominant_color,dominant_color_family,description,publisher,distributable_url
8339,1003845,8688.81071246246,4538.503562071082,991.0,651.0,"vallaurus, toros",pablo picasso,pablo,picasso,1956,20,http://www.moma.org/collection/works/6342,https://www.moma.org//media/W1siZiIsIjUyMTkiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAyMDAweDIwMDBcdTAwM2UiXV0.jpg?sha=00cb8a32dfd42471,MOMA,design,Unknown,Unknown,6342,Whites Reds Yellows Blacks Grays,"[u'#ded1c1', u'#ded5c5', u'#d5c9b0', u'#5c2734', u'#9f252c', u'#961722', u'#5c576a', u'#4e1334', u'#e3dccf', u'#e0cab0', u'#ddd4c3', u'#d49a5e']",15041 15848 4628 661 6588 21230 5031 9340 4345 787 7354 7963,f,woodcut,Unknown,"39 x 25 5/8"" (99.1 x 65.1 cm)",Unknown,Unknown,#961722,Reds,,,Unknown
8341,1003849,14770.5962977968,12923.425171188344,991.0,654.0,"vallauris-1952, exposition",pablo picasso,pablo,picasso,1956,20,http://www.moma.org/collection/works/6349,https://www.moma.org//media/W1siZiIsIjUyMzEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAyMDAweDIwMDBcdTAwM2UiXV0.jpg?sha=28b30b8b2ba0b6da,MOMA,design,Unknown,Unknown,6349,Whites Reds Yellows Blacks Grays,"[u'#e7ddcd', u'#951d2b', u'#821529', u'#6d1d33', u'#e3ccb1', u'#e3d6c3', u'#e2d4c0', u'#d8caaf', u'#931623', u'#823239', u'#7d6e72', u'#331228']",4255 8960 2965 2459 4409 15709 17610 8284 11753 2805 4887 14976,f,linocut,Unknown,"39 x 25 3/4"" (99.1 x 65.4 cm)",Unknown,Unknown,#e2d4c0,Whites,,,Unknown
8583,1004213,15214.90043090731,7839.917515094472,998.0,640.0,"""congres national/ mouvement de la paix/ 10 et 11 mars 1962/ issy-les-moulineaux""",pablo picasso,pablo,picasso,1961,20,http://www.moma.org/collection/works/7107,https://www.moma.org//media/W1siZiIsIjE2MzQ2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=d8363f99c4cef37f,MOMA,design,Unknown,Unknown,7107,Whites Grays,"[u'#e1dbce', u'#d7d1c5', u'#d1cdc1', u'#d3cec2', u'#bcb5a8', u'#d9d4c7', u'#d6cec0', u'#d4ccbf', u'#d3d0c5', u'#d2cabc', u'#cdc8bb', u'#6f685c']",5494 7100 6024 6492 6710 7353 5226 9035 5426 8443 10605 8108,f,lithograph,Unknown,"39 5/16 x 25 3/16"" (99.8 x 64.0 cm)",Unknown,Unknown,#cdc8bb,Grays,,,Unknown
8589,1004221,9999.999999998196,16016.649931624454,758.0,502.0,"galerie louise leiris, picasso",pablo picasso,pablo,picasso,1971,20,http://www.moma.org/collection/works/7126,https://www.moma.org//media/W1siZiIsIjcyNjkiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAyMDAweDIwMDBcdTAwM2UiXV0.jpg?sha=663ab6c06f668e23,MOMA,design,Unknown,Unknown,7126,Whites Reds Yellows Grays,"[u'#e6e5e0', u'#dfcfae', u'#deb380', u'#dcddda', u'#d8d9d5', u'#b96f58', u'#b0a38d', u'#623d44', u'#e0deda', u'#dedad5', u'#dcdcd9', u'#746a64']",5718 5326 6896 9040 6865 8815 7555 10015 8094 3805 18240 7167,f,lithograph,Unknown,"29 13/16 x 19 3/4"" (75.8 x 50.2 cm)",Unknown,Unknown,#dcdcd9,Whites,,,Unknown
9527,1005622,7449.810531221459,4994.971357546686,749.0,622.0,toros en vallauris 1960,pablo picasso,pablo,picasso,1960,20,http://www.moma.org/collection/works/8970,https://www.moma.org//media/W1siZiIsIjE2MzQxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=1133e2ef4d91238a,MOMA,design,Unknown,Unknown,8970,Whites Reds Yellows,"[u'#dcd7cf', u'#d7813e', u'#ac2f07', u'#a92705', u'#9b2d04', u'#952504', u'#dfdcd1', u'#dcd6c5', u'#d9ca9f', u'#ad400a', u'#a92a05', u'#a72e04']",8660 5479 6702 4734 7790 6833 5901 8889 971 5094 6282 10489,f,linoleum,Unknown,"29 1/2 x 24 1/2"" (74.9 x 62.2 cm)",Unknown,Unknown,#a72e04,Reds,,,Unknown
11422,1009673,14681.399708658219,6598.764021068352,769.0,569.0,the cock (le coq),pablo picasso,pablo,picasso,1938,20,http://www.moma.org/collection/works/33706,https://www.moma.org//media/W1siZiIsIjI3OTA2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=ebe425076bdf7553,MOMA,drawing,Unknown,Unknown,33706,Whites Grays Yellows,"[u'#dbcdad', u'#d7c9a9', u'#c4b799', u'#a0957e', u'#e8dab9', u'#e0d2b1', u'#d4c6a6', u'#ccc0a1', u'#baae91', u'#7d7461', u'#686050', u'#50483a']",9478 6808 6887 7158 5396 7407 6409 7855 7625 6801 6831 9409,f,charcoal on paper,Unknown,"30 1/4 x 22 3/8"" (76.9 x 56.9 cm)",Unknown,Unknown,#dbcdad,Yellows,,,Unknown
11814,1010239,5692.010792049995,6320.629624304697,582.0,778.0,the pool,pablo picasso,pablo,picasso,1968,20,http://www.moma.org/collection/works/34830,https://www.moma.org//media/W1siZiIsIjIxMDQ3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=ffbe3ff2461f0a05,MOMA,drawing,Unknown,Unknown,34830,Whites Grays,"[u'#e2d9ca', u'#e0d7c8', u'#e7decf', u'#e1d8c9', u'#e3dacb', u'#e1d8c7', u'#e0d8c8', u'#dfd6c6', u'#ded4c5', u'#dbd2c2', u'#d5ccbd', u'#beb4a6']",5089 6175 6170 9972 7457 4116 93 8936 9950 12870 9539 7185,f,pencil on paper,Unknown,"23 x 30 5/8"" (58.2 x 77.8 cm)",Unknown,Unknown,#dbd2c2,Whites,,,Unknown
12015,1010514,11655.620620390036,15095.476327183833,1055.0,750.0,two acrobats with a dog,pablo picasso,pablo,picasso,1905,20,http://www.moma.org/collection/works/35378,https://www.moma.org//media/W1siZiIsIjIxMDc1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=8ce8bf3a51913cc8,MOMA,drawing,Unknown,Unknown,35378,Grays Cyans,"[u'#88939a', u'#838581', u'#737b7f', u'#66859c', u'#617b90', u'#373f4c', u'#7f7c6e', u'#72706b', u'#6a8eaa', u'#666e73', u'#586a7b', u'#4f5866']",6004 4796 10255 7924 7959 9817 6479 6191 6838 7608 6651 12150,f,gouache on board,Unknown,"41 1/2 x 29 1/2"" (105.5 x 75 cm)",Unknown,Unknown,#4f5866,Grays,,,Unknown
12459,1011119,7910.846884192352,14100.193852692442,2160.0,788.0,guitar,pablo picasso,pablo,picasso,1919,20,http://www.moma.org/collection/works/36613,https://www.moma.org//media/W1siZiIsIjE1MDQ2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=fbc6f8c7b2420f27,MOMA,painting,Unknown,Unknown,36613,Reds Yellows Blacks,"[u'#deb977', u'#9c6b39', u'#816943', u'#32291f', u'#191715', u'#100f10', u'#d7aa60', u'#ca9c54', u'#b48c52', u'#a67a47', u'#77502f', u'#211a15']",9499 18786 17368 13895 15639 18292 13404 12588 9274 12400 20402 17141,f,oil on canvas,Unknown,"7' 1"" x 31"" (216 x 78.8 cm)",Unknown,Unknown,#77502f,Reds,,,Unknown
18318,1022263,5560.928711206595,5560.928711204535,496.0,696.0,minotauromachy (la minotauromachie),pablo picasso,pablo,picasso,1935,20,http://www.moma.org/collection/works/60110,https://www.moma.org//media/W1siZiIsIjIxMDAzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=ccd1f65735c848b3,MOMA,print,Unknown,Unknown,60110,Whites Grays Yellows Blacks,"[u'#767359', u'#626149', u'#585740', u'#343728', u'#e7e4cd', u'#dfdabf', u'#c6be9b', u'#9f9a7c', u'#8c886c', u'#4a4a36', u'#3d3e2b', u'#272a1c']",7991 6978 6660 6910 5946 7833 6274 7059 6555 8522 6990 8554,f,etching,Unknown,"plate: 19 1/2 x 27 3/8"" (49.6 x 69.6 cm); sheet (irreg.): 22 5/8 x 29 3/16"" (57.4 x 74.2 cm)",Unknown,Unknown,#272a1c,Blacks,,,Unknown
