,omni_id,y,x,height,width,artwork_name,artist_full_name,artist_first_name,artist_last_name,date,century,source_url,image_url,collection_origins,general_type,genre,school,original_id_in_collection,palette_families,palette,pixel_counts,geocoded,media,style,dimensions,location,tag,dominant_color,dominant_color_family,description,publisher,distributable_url
8033,1003278,7667.473255464811,6789.552359805433,1553.0,2335.0,perrier,andy warhol,andy,warhol,1983,20,http://www.moma.org/collection/works/5134,https://www.moma.org//media/W1siZiIsIjIxMDMyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=460cd5e37cccc5e2,MOMA,design,Unknown,Unknown,5134,Whites Grays Yellows,"[u'#edebe4', u'#e7e5e0', u'#e5e3de', u'#e1dfdb', u'#cfcdc5', u'#baad98', u'#998d57', u'#7a6f49', u'#3b2f34', u'#e3dcd4', u'#dadad4', u'#d9d2c9']",7056 9103 7514 12850 6318 4813 7177 11110 11209 3294 10547 6801,f,lithograph,Unknown,"5' 1 1/8"" x 7' 7 7/8"" (155.3 x 233.5 cm)",Unknown,Unknown,#e1dfdb,Whites,,,Unknown
8177,1003558,16083.408775513237,10000.000000001344,759.0,1150.0,"bank by andy warhol. gaudy savings by rca color scanner. pretty as a pigture, huh?",andy warhol,andy,warhol,1968,20,http://www.moma.org/collection/works/5849,https://www.moma.org//media/W1siZiIsIjQxMTgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAyMDAweDIwMDBcdTAwM2UiXV0.jpg?sha=c758c55fdc32e77c,MOMA,design,Unknown,Unknown,5849,Whites Grays Reds Blacks,"[u'#d7d7d5', u'#d5d5d4', u'#d3d3d1', u'#d1cfcd', u'#cdcdcc', u'#cacbc9', u'#c3bfb9', u'#b09780', u'#8f6f5d', u'#6e453d', u'#322726', u'#d4d4d2']",4027 9900 8352 7887 7318 8868 4954 6224 12160 12352 12115 5171,f,lithograph,Unknown,"29 7/8 x 45 1/4"" (75.9 x 115 cm)",Unknown,Unknown,#6e453d,Reds,,,Unknown
8624,1004284,14322.218666888399,15949.023629429601,1143.0,610.0,fifth new york/film festival lincoln center,andy warhol,andy,warhol,1967,20,http://www.moma.org/collection/works/7247,https://www.moma.org//media/W1siZiIsIjc2NTMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAyMDAweDIwMDBcdTAwM2UiXV0.jpg?sha=54325e18a96b9c24,MOMA,design,Unknown,Unknown,7247,Reds Cyans Blacks Greens Whites Magentas Grays,"[u'#f1538a', u'#ec5f93', u'#dddfdd', u'#9db3ae', u'#867788', u'#7393a8', u'#6093ae', u'#5ea389', u'#57b75e', u'#f44c82', u'#6794b2', u'#40202c']",8748 11700 10105 1811 7611 7353 10898 4729 11959 12022 18305 13031,f,silkscreen,Unknown,"45 x 24"" (114.3 x 61.0 cm)",Unknown,Unknown,#6794b2,Cyans,,,Unknown
9517,1005590,3704.5337203694517,10000.000000000355,679.0,1238.0,scandanavian airlines system passenger ticket and baggage check,andy warhol,andy,warhol,1967,20,http://www.moma.org/collection/works/8893,https://www.moma.org//media/W1siZiIsIjExOTQyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMjAwMHgyMDAwXHUwMDNlIl1d.jpg?sha=ae98024377e1d5b8,MOMA,design,Unknown,Unknown,8893,Whites Grays Yellows Blacks,"[u'#f0e3c2', u'#efc745', u'#edd165', u'#ebcb60', u'#e4bd52', u'#efc64f', u'#eeca46', u'#eac24f', u'#e7c654', u'#c3aa5a', u'#5f5841', u'#1b1816']",8177 17179 8399 7683 5258 13568 8665 5403 4802 14554 7594 17502,f,silkscreen,Unknown,"26 3/4 x 48 3/4"" (67.9 x 123.8 cm)",Unknown,Unknown,#1b1816,Blacks,,,Unknown
9541,1005638,9415.803126429786,17422.92508179076,940.0,686.0,paris review,andy warhol,andy,warhol,1967,20,http://www.moma.org/collection/works/9006,https://www.moma.org//media/W1siZiIsIjEyMTA4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMjAwMHgyMDAwXHUwMDNlIl1d.jpg?sha=f779b8d99d48b085,MOMA,design,Unknown,Unknown,9006,Whites Reds Yellows,"[u'#eee5ce', u'#e8dbbe', u'#e4d7b8', u'#e3dbbc', u'#ded5b8', u'#865144', u'#e7dabb', u'#e4d9ba', u'#edd6bb', u'#e7dec0', u'#e1daba', u'#ceb69e']",7611 7510 8889 5508 6839 8369 7932 11841 5446 8235 3608 7300,f,silkscreen,Unknown,"37 1/8 x 27 1/8"" (94.0 x 68.6 cm)",Unknown,Unknown,#e4d9ba,Whites,,,Unknown
11312,1009505,14435.783449466937,3894.667857034159,737.0,580.0,untitled (city text),andy warhol,andy,warhol,1962,20,http://www.moma.org/collection/works/33425,https://www.moma.org//media/W1siZiIsIjg5ODkwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMjAwMHgyMDAwXHUwMDNlIl1d.jpg?sha=d8579c02af7e7b71,MOMA,drawing,Unknown,Unknown,33425,Reds Whites Yellows,"[u'#d2b190', u'#cd652f', u'#bb3926', u'#dadad0', u'#d1783e', u'#cb5a2a', u'#c64e28', u'#bb7647', u'#b64a2a', u'#ad5e35', u'#954829', u'#923420']",1585 7026 12230 7462 6726 7888 5529 4133 6829 5651 8938 8691,f,pencil on paper,Unknown,"29 x 23"" (73.7 x 58 cm)",Unknown,Unknown,#bb3926,Reds,,,Unknown
11316,1009510,3814.073024786365,13790.740925785274,708.0,1038.0,untitled (skull),andy warhol,andy,warhol,1976,20,http://www.moma.org/collection/works/33436,https://www.moma.org//media/W1siZiIsIjk3MDQ5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMjAwMHgyMDAwXHUwMDNlIl1d.jpg?sha=94e5b9c78de942a0,MOMA,drawing,Unknown,Unknown,33436,Whites,"[u'#f0f1ec', u'#ededeb', u'#ecede8', u'#eaebe7', u'#e4e5e0', u'#ecede6', u'#edece7', u'#ebece5', u'#edece8', u'#ebece7', u'#e9eae4', u'#d1d2cd']",7559 6086 21853 8606 8005 620 16 2569 7177 17498 8807 5668,f,pencil on paper,Unknown,"27 7/8 x 40 7/8"" (70.8 x 103.8 cm)",Unknown,Unknown,#ecede8,Whites,,,Unknown
11811,1010233,8329.449494810466,3041.656364809707,1016.0,762.0,roll of bills,andy warhol,andy,warhol,1962,20,http://www.moma.org/collection/works/34818,https://www.moma.org//media/W1siZiIsIjIyODQxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=46e82a633d62f9f3,MOMA,drawing,Unknown,Unknown,34818,Whites Grays,"[u'#e1dfd9', u'#dddbd4', u'#dad7cf', u'#e3e2dc', u'#e1e0da', u'#dfdcd6', u'#deded8', u'#dadad3', u'#d6d4cc', u'#cccec7', u'#c0c0ba', u'#a7a29e']",7347 5515 6158 8731 6478 5126 6222 5649 6717 9036 11089 7948,f,pencil on paper,Unknown,"40 x 30"" (101.6 x 76.2 cm)",Unknown,Unknown,#c0c0ba,Grays,,,Unknown
18370,1022351,7223.020444797804,16704.221704597672,1037.0,697.0,paloma picasso from homage to picasso (hommage  picasso),andy warhol,andy,warhol,1975,20,http://www.moma.org/collection/works/60266,https://www.moma.org//media/W1siZiIsIjMwODk5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=4328e1b0858e9d31,MOMA,print,Unknown,Unknown,60266,Whites Grays,"[u'#e0dfdf', u'#b8b7c0', u'#ab9193', u'#edeceb', u'#f2f0f0', u'#f1eced', u'#eeeeec', u'#edeaeb', u'#e8e8e7', u'#a4a4bd', u'#9daac2', u'#8eb2ac']",8523 2300 12020 5474 8267 6037 7806 14503 5734 3297 12557 8714,f,print,Unknown,"composition (irreg.): 40 13/16 x 27 7/16"" (103.7 x 69.7cm); sheet: 40 15/16 x 27 3/4"" (104 x 70.5cm)",Unknown,Unknown,#edeaeb,Whites,,,Unknown
18426,1022447,5061.104380663071,5061.104380662425,1014.0,813.0,"joseph beuys, state ii",andy warhol,andy,warhol,1980,20,http://www.moma.org/collection/works/60485,https://www.moma.org//media/W1siZiIsIjI1Mzc1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=bca7700b39a6e694,MOMA,print,Unknown,Unknown,60485,Whites Grays Yellows,"[u'#dadbd3', u'#d2c99b', u'#95b3a1', u'#758d8e', u'#3d393a', u'#3c3b3c', u'#373737', u'#f5f4ed', u'#a87a79', u'#655859', u'#414040', u'#3b3e3d']",6505 4888 5379 9644 7145 11912 6449 4602 10363 3941 7181 2887,f,print,Unknown,"composition and sheet: 39 15/16 x 32"" (101.4 x 81.3cm)",Unknown,Unknown,#3c3b3c,Grays,,,Unknown
